FID,CLSFID,ID_Country,ORIG_FID,Lat,Lon
0,5105,5105 Canada,0,75.874134520400005,-122.512257680000005
1,5114,5114 Canada,1,75.803665564699998,-121.072685383000007
2,5119,5119 Canada,2,76.495956437299995,-118.969924843000001
3,5131,5131 Canada,3,75.948402316300005,-118.465862633000000
4,5165,5165 Canada,4,75.171089186600000,-115.226249612000004
5,5166,5166 Canada,5,75.832069411800006,-115.799446020999994
6,5201,5201 Canada,6,77.805303353400006,-114.669413675000001
7,5167,5167 Canada,7,75.000088900400002,-112.221945539999993
8,5168,5168 Canada,8,76.201582543399994,-112.753427309000003
9,5170,5170 Canada,9,75.825735207999998,-111.611940481000005
10,5171,5171 Canada,10,75.569140594700002,-110.497618856000003
11,5172,5172 Canada,11,75.518841892400005,-109.448029918000003
12,5174,5174 Canada,12,75.857597163199998,-109.939378048999998
13,5176,5176 Canada,13,75.885900162100000,-110.027982847000004
14,5177,5177 Canada,14,76.640266430899999,-108.719787496999999
15,5178,5178 Canada,15,76.285841909400006,-110.204078340999999
16,5179,5179 Canada,16,76.196807910999993,-109.621879876999998
17,5180,5180 Canada,17,75.924231800499996,-109.939081168000001
18,5202,5202 Canada,18,78.046585098600005,-114.237537282000005
19,5203,5203 Canada,19,77.908520358600001,-113.897263491000004
20,5217,5217 Canada,20,76.717401604399996,-114.168756154999997
21,5220,5220 Canada,21,77.152364746600000,-113.795156215000006
22,5264,5264 Canada,22,77.406097426000002,-111.041808978000006
23,5265,5265 Canada,23,78.026931777200005,-111.705566300000001
24,5266,5266 Canada,24,77.947864706700003,-109.781566878999996
25,5267,5267 Canada,25,78.300924199400001,-110.757761552000005
26,5268,5268 Canada,26,78.563034072500002,-111.677780040000002
27,5269,5269 Canada,27,78.587683826200006,-109.627256039000002
28,5169,5169 Canada,28,74.976277300199996,-107.914819413000004
29,5352,5352 Canada,29,79.867132886500002,-99.425436246800004
30,5173,5173 Canada,30,75.795011435299998,-106.707008067000004
31,5175,5175 Canada,31,75.774631723499994,-109.348669751000003
32,5526,5526 Canada,32,62.847611967399999,-82.982808314400003
33,5690,5690 Canada,33,61.778743734599999,-79.590141238499996
34,7436,7436 Canada,34,60.279818946799999,-68.056792991099996
35,7036,7036 Denmark,35,80.029006193599997,-65.634526518700000
36,7037,7037 Denmark,36,80.294228611299999,-67.485880728300003
37,7038,7038 Denmark,37,80.400004942199999,-67.087375660399999
38,7039,7039 Denmark,38,80.519455464800004,-66.758804178099993
39,7040,7040 Denmark,39,80.670015853799995,-65.879792504099996
40,7041,7041 Denmark,40,80.891914681200006,-65.002116181199995
41,7347,7347 Denmark,41,80.606903542400005,-66.757939499599999
42,7348,7348 Denmark,42,80.645950878600004,-66.882601262799994
43,7349,7349 Denmark,43,80.659355445800003,-66.679549110400004
44,7042,7042 Denmark,44,80.903505053100005,-64.833570735699993
45,7043,7043 Denmark,45,80.984928985899998,-64.778371447699996
46,7044,7044 Denmark,46,80.925565203700003,-63.130201764299997
47,7045,7045 Denmark,47,81.120890598100004,-61.247134773799999
48,7046,7046 Denmark,48,81.715875171799993,-58.753705355400001
49,7052,7052 Denmark,49,82.168319693100003,-56.325279035599998
50,7053,7053 Denmark,50,82.057434071599999,-53.536554142200004
51,7054,7054 Denmark,51,81.913485238000007,-51.713185632200002
52,7055,7055 Denmark,52,81.904458467100000,-50.208297343900000
53,7056,7056 Denmark,53,81.879695289099999,-49.942012790000000
54,7105,7105 Denmark,54,82.054285326300004,-50.152827748000000
55,7106,7106 Denmark,55,82.357226005300006,-50.838149454200000
56,7107,7107 Denmark,56,82.505367333500004,-49.644985972199997
57,7960,7960 Denmark,57,82.284235639599999,-52.043259278000001
58,7963,7963 Denmark,58,82.169880563800007,-52.273628539000001
59,7057,7057 Denmark,59,81.877741282200006,-49.727137654800003
60,7104,7104 Denmark,60,81.882324206600003,-49.681665235300002
61,7116,7116 Denmark,61,82.110084473900002,-46.589152290599998
62,7117,7117 Denmark,62,81.773379361200000,-44.958324814400001
63,7124,7124 Denmark,63,82.446073092500001,-44.038358795100002
64,7125,7125 Denmark,64,82.781448350700003,-45.395833766599999
65,7126,7126 Denmark,65,82.771715858700006,-44.854203421299999
66,7134,7134 Denmark,66,83.126623134499994,-43.155202392699998
67,8016,8016 Denmark,67,82.473599605800004,-48.453244820400002
68,8017,8017 Denmark,68,82.465152176600000,-48.037890240400003
69,8018,8018 Denmark,69,82.410929664899996,-48.114129495800000
70,8021,8021 Denmark,70,82.875306457600004,-47.928379642899998
71,8079,8079 Denmark,71,82.907793987000005,-46.828467088799997
72,8100,8100 Denmark,72,82.266598954599999,-46.094892969999997
73,7118,7118 Denmark,73,81.758997541400007,-44.709762031799997
74,7119,7119 Denmark,74,81.786910996399996,-44.476215187100003
75,7120,7120 Denmark,75,82.267778652000004,-43.615260646800003
76,7127,7127 Denmark,76,82.764327988900007,-44.291665830800000
77,7128,7128 Denmark,77,82.777472031100004,-43.025655776299999
78,7129,7129 Denmark,78,82.525530537799995,-41.821863902099999
79,7130,7130 Denmark,79,82.622215233999995,-40.813325462700000
80,7131,7131 Denmark,80,82.553047691399996,-40.001363599400001
81,7132,7132 Denmark,81,82.684853312200005,-39.946296916800001
82,7133,7133 Denmark,82,82.707273417600007,-40.083289083600000
83,8123,8123 Denmark,83,83.270178234300005,-42.188671917599997
84,8135,8135 Denmark,84,83.295496255100005,-41.466773366399998
85,8136,8136 Denmark,85,83.296234263000002,-41.237079794300001
86,8137,8137 Denmark,86,83.287845364399999,-41.246250182799997
87,8138,8138 Denmark,87,83.238853753599997,-41.302694995099998
88,8159,8159 Denmark,88,83.106600578599995,-40.665923099099999
89,8167,8167 Denmark,89,83.038388937999997,-39.932053814299998
90,8187,8187 Denmark,90,83.259429915900000,-39.642776283099998
91,7135,7135 Denmark,91,82.947924919700000,-39.394393508999997
92,7136,7136 Denmark,92,82.839053332099994,-38.972260938100000
93,7138,7138 Denmark,93,83.118003389799995,-38.012360209999997
94,7139,7139 Denmark,94,83.482241072199997,-37.416560205899998
95,7140,7140 Denmark,95,83.580414392999998,-31.511558353100000
96,7142,7142 Denmark,96,83.139248612499998,-30.659062999500001
97,7147,7147 Denmark,97,83.109204986099996,-30.207227266299999
98,8175,8175 Denmark,98,83.292246944400006,-39.268067035400001
99,8188,8188 Denmark,99,83.133279250399994,-38.334012062799999
100,7149,7149 Denmark,100,82.171428095600007,-27.214162168700000
101,7150,7150 Denmark,101,81.706939678400005,-32.498227921300000
102,7151,7151 Denmark,102,81.732569361700001,-32.416286763700001
103,7152,7152 Denmark,103,81.760143840900000,-32.229177452400002
104,7153,7153 Denmark,104,81.782794425299997,-32.056320838700003
105,7154,7154 Denmark,105,81.793487529800004,-31.972977485800001
106,7155,7155 Denmark,106,81.875328680099997,-30.672880159900000
107,7141,7141 Denmark,107,83.286932852299998,-25.658456459600000
108,7156,7156 Denmark,108,81.960845927400001,-29.360491602500002
109,7157,7157 Denmark,109,82.022750091700004,-27.264442530800000
110,7162,7162 Denmark,110,81.525129180299999,-26.167274206700000
111,7148,7148 Denmark,111,83.128875711399999,-24.904352975999998
112,7163,7163 Denmark,112,81.700034978199994,-24.681736717900002
113,7164,7164 Denmark,113,81.716240179400003,-24.598918494799999
114,7165,7165 Denmark,114,81.714195218699999,-24.437470112600000
115,7166,7166 Denmark,115,81.707389738700002,-24.229107508799999
116,7167,7167 Denmark,116,82.037522086999999,-23.714320421800000
117,7168,7168 Denmark,117,82.071239330599994,-22.614298435900000
118,7169,7169 Denmark,118,81.305282102700005,-22.664209723700001
119,7170,7170 Denmark,119,80.763839600200001,-23.897627970500000
120,7175,7175 Denmark,120,80.985000961899999,-22.795236397899998
121,7176,7176 Denmark,121,81.603101348699994,-20.608473342600000
122,7177,7177 Denmark,122,81.664710975800006,-20.069732543099999
123,7178,7178 Denmark,123,81.670696235799994,-20.028065558500000
124,7179,7179 Denmark,124,81.641897738400004,-20.014062365099999
125,7180,7180 Denmark,125,81.561920143300000,-20.216941711899999
126,7181,7181 Denmark,126,81.552524550699999,-19.155232800400000
127,8251,8251 Denmark,127,81.622368268499997,-20.843497930000002
128,8252,8252 Denmark,128,81.707379045400003,-20.944614033000001
129,8253,8253 Denmark,129,81.668210770800002,-20.547719029800000
130,8291,8291 Denmark,130,82.106496271200001,-20.235071621800000
131,7182,7182 Denmark,131,81.548999763099999,-17.994477155999999
132,7183,7183 Denmark,132,81.616667490200001,-17.709183283500000
133,7184,7184 Denmark,133,81.721161636800005,-17.425695332499998
134,7185,7185 Denmark,134,81.738034681700000,-17.520931613300000
135,7186,7186 Denmark,135,81.912665696500000,-15.989539532800000
136,8315,8315 Denmark,136,82.072470258400003,-19.116333353500000
137,8316,8316 Denmark,137,82.208128694999999,-19.304184208999999
138,8317,8317 Denmark,138,82.096413685100003,-19.066491983399999
139,8318,8318 Denmark,139,82.049605312400004,-18.896088527400000
140,8319,8319 Denmark,140,82.013190398199995,-18.831846033400002
141,8327,8327 Denmark,141,81.694189837300001,-18.881361501000001
142,8328,8328 Denmark,142,81.754048249299998,-19.191981565900001
143,8329,8329 Denmark,143,81.769243204000006,-19.231000788700001
144,8330,8330 Denmark,144,81.808828001500004,-18.899291592200001
145,8331,8331 Denmark,145,81.707119557499993,-18.446528553600000
146,7187,7187 Denmark,146,81.821650825399999,-13.889560414000000
147,7188,7188 Denmark,147,81.793102239999996,-13.311667811500000
148,7189,7189 Denmark,148,81.777815008600001,-13.144755698299999
149,7190,7190 Denmark,149,81.754989599500007,-12.959523571600000
150,6838,6838 Denmark,150,77.439047201799994,-71.958610111699997
151,6981,6981 Denmark,151,77.458064132100006,-70.669718476900002
152,7032,7032 Denmark,152,79.063364949800004,-68.334630463899998
153,7047,7047 Denmark,153,78.550938658800007,-71.978647596700000
154,7048,7048 Denmark,154,78.057909219199999,-72.479211962999997
155,7049,7049 Denmark,155,77.752632135799999,-69.481391773900000
156,7051,7051 Denmark,156,77.178332829300004,-68.711952888200003
157,7286,7286 Denmark,157,76.397726896899997,-70.044266408300004
158,7295,7295 Denmark,158,76.597317016100007,-69.751411966099994
159,7033,7033 Denmark,159,79.343139823100003,-65.326992953100003
160,7035,7035 Denmark,160,79.698996672299998,-64.998381009900001
161,7050,7050 Denmark,161,77.622959130200002,-66.354713309600001
162,7058,7058 Denmark,162,76.198569591799995,-68.848981421399998
163,7059,7059 Denmark,163,76.074605029400004,-68.374827949400000
164,7060,7060 Denmark,164,76.049410956700001,-67.937372883600005
165,7061,7061 Denmark,165,76.016499943400007,-67.479103707099995
166,7062,7062 Denmark,166,75.965171322299994,-66.915300796799997
167,7063,7063 Denmark,167,76.047334401399993,-66.920469908800001
168,7064,7064 Denmark,168,76.140483902000000,-67.078375487399995
169,7065,7065 Denmark,169,76.197563974600001,-67.263233873399997
170,7066,7066 Denmark,170,76.254840556199994,-67.077898023700001
171,7067,7067 Denmark,171,76.255839093700004,-66.895793371400003
172,7068,7068 Denmark,172,76.099887554899993,-66.538609940300006
173,7069,7069 Denmark,173,76.274044029300001,-66.062499883000001
174,7070,7070 Denmark,174,76.267248975499996,-65.916541905100004
175,7071,7071 Denmark,175,76.194244876499994,-65.697714737200002
176,7072,7072 Denmark,176,76.122600547600001,-65.815978888299995
177,7073,7073 Denmark,177,76.116350721000003,-65.854466977399994
178,7074,7074 Denmark,178,76.103719602499993,-65.882620867000000
