Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
Abib & Appadoo 2012,553_1,Published,MUS,Mauritius,57.788057,-20.248105,Indo West Pacific,II Small delta,NA,NA,NA,NA,26.96,1,
Abib & Appadoo 2012,553_2,Published,MUS,Mauritius,57.375362,-20.385806,Indo West Pacific,II Small delta,NA,NA,NA,NA,16.63,1,
Abohassan et al. 2012,530_1,Published,SAU,Saudi Arabia,39.474424,20.766031,Indo West Pacific,VI Arheic,16.7,3,22.77,1040,18.58,1,
Abohassan et al. 2012,530_2,Published,SAU,Saudi Arabia,38.19564,23.979278,Indo West Pacific,VI Arheic,9.3,2.57,9.08,1337,10.77,1,
Abreu 2007,1000_1,Published,BRA,Brazil,-48.027756,-0.74495833,Atlantic East Pacific,III Tidal system,20.63,10.13,NA,NA,NA,3,
Abreu 2007,1000_2,Published,BRA,Brazil,-47.697433,-0.71128611,Atlantic East Pacific,III Tidal system,39.2,14.27,NA,NA,NA,3,
Abreu 2007,1000_3,Published,BRA,Brazil,-47.010639,-0.89858056,Atlantic East Pacific,III Tidal system,27.03,17.2,NA,NA,NA,3,
Abreu et al. 2006,60,Published,BRA,Brazil,-46.672167,-0.92775,Atlantic East Pacific,III Tidal system,16.6,10.63,9.04,418,51.81,3,
Abreu et al. 2006,1001,Published,BRA,Brazil,-46.672167,-0.92775,Atlantic East Pacific,III Tidal system,13,8.9,9.11,418,43.7,3,
Accad et al. 2019,3048_1,Published,AUS,Australia,140.846897,-17.437662,Indo West Pacific,III Tidal system,9.29,5.33,0.81,120,2.34,NA,
Accad et al. 2019,3048_10,Published,AUS,Australia,141.668207,-15.010453,Indo West Pacific,III Tidal system,13.43,6.17,17.7,1250,58.86,NA,
Accad et al. 2019,3048_11,Published,AUS,Australia,141.668207,-15.010453,Indo West Pacific,III Tidal system,14.03,5.32,8.65,560,24.81,NA,
Accad et al. 2019,3048_12,Published,AUS,Australia,141.668207,-15.010453,Indo West Pacific,III Tidal system,10.53,8.14,9.75,1120,42.77,NA,
Accad et al. 2019,3048_13,Published,AUS,Australia,141.655333,-14.974882,Indo West Pacific,III Tidal system,7.8,7.32,12.99,2720,51.25,NA,
Accad et al. 2019,3048_14,Published,AUS,Australia,141.648818,-14.968799,Indo West Pacific,III Tidal system,7.27,8.17,15.35,3700,67.6,NA,
Accad et al. 2019,3048_15,Published,AUS,Australia,141.648818,-14.968799,Indo West Pacific,III Tidal system,11.21,3.81,6.31,640,12.97,NA,
Accad et al. 2019,3048_16,Published,AUS,Australia,141.648818,-14.968799,Indo West Pacific,III Tidal system,12.77,10.95,5.12,400,30.22,NA,
Accad et al. 2019,3048_17,Published,AUS,Australia,141.643852,-14.961484,Indo West Pacific,III Tidal system,7.62,7.94,12.4,2720,53.06,NA,
Accad et al. 2019,3048_18,Published,AUS,Australia,141.643852,-14.961484,Indo West Pacific,III Tidal system,7.12,5.42,2.87,720,8.37,NA,
Accad et al. 2019,3048_19,Published,AUS,Australia,141.643852,-14.961484,Indo West Pacific,III Tidal system,11.46,5.53,19.33,1875,57.62,NA,
Accad et al. 2019,3048_2,Published,AUS,Australia,140.846897,-17.437662,Indo West Pacific,III Tidal system,3.89,3.26,8.91,7500,15.65,NA,
Accad et al. 2019,3048_20,Published,AUS,Australia,141.643852,-14.961484,Indo West Pacific,III Tidal system,10.04,5.32,3.17,400,9.08,NA,
Accad et al. 2019,3048_3,Published,AUS,Australia,140.854579,-17.428517,Indo West Pacific,III Tidal system,9.55,4.49,1.22,170,2.95,NA,
Accad et al. 2019,3048_4,Published,AUS,Australia,140.854579,-17.428517,Indo West Pacific,III Tidal system,4.94,3.8,1.15,600,2.35,NA,
Accad et al. 2019,3048_5,Published,AUS,Australia,140.801917,-17.470068,Indo West Pacific,III Tidal system,8.11,3.08,9.91,1920,16.46,NA,
Accad et al. 2019,3048_6,Published,AUS,Australia,140.801917,-17.470068,Indo West Pacific,III Tidal system,6.19,2.84,9.45,3143,14.47,NA,
Accad et al. 2019,3048_7,Published,AUS,Australia,141.667746,-15.024186,Indo West Pacific,III Tidal system,15.4,5.36,10.43,560,30.12,NA,
Accad et al. 2019,3048_8,Published,AUS,Australia,141.667746,-15.024186,Indo West Pacific,III Tidal system,4.56,2.96,3.33,2040,5.31,NA,
Accad et al. 2019,3048_9,Published,AUS,Australia,141.668207,-15.010453,Indo West Pacific,III Tidal system,9.59,3.85,10.97,1520,22.77,NA,
Adaime 1985,1002_1,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,8.09,7.7,21.05,4100,87.36,2,
Adaime 1985,1002_2,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,8.66,5.9,24.16,4100,76.83,1,
Adaime 1985,1002_3,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,5.83,5.6,15.24,5700,46,1,
Adaime 1985,1002_4,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,6.02,4.9,14.5,5100,38.3,1,
Adaime 1985,1002_5,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,9.14,8.8,22.95,3500,108.86,3,
Adaime 1985,1002_6,Published,BRA,Brazil,-47.931936,-25.0249,Atlantic East Pacific,IV Lagoon,9.26,8.4,19.53,2900,88.42,2,
Adame et al. 2013a,1003_1,Published,MEX,Mexico,-90.4295,20.70753056,Atlantic East Pacific,IV Lagoon,12.32,5.3,29.2,2450,83.42,NA,
Adame et al. 2013a,1003_2,Published,MEX,Mexico,-89.806517,21.245175,Atlantic East Pacific,IV Lagoon,4.05,2,5.8,4500,6.25,NA,
Adame et al. 2013a,1003_3,Published,MEX,Mexico,-89.675069,21.27526389,Atlantic East Pacific,IV Lagoon,11.23,4.2,32.2,3250,72.89,NA,
Adame et al. 2013a,1003_4,Published,MEX,Mexico,-88.909236,21.38728889,Atlantic East Pacific,V Carbonate,6.85,4.2,6.2,1683,14.04,NA,
Adame et al. 2013a,1003_5,Published,MEX,Mexico,-88.130022,21.61994167,Atlantic East Pacific,V Carbonate,3.49,3.3,2.1,2200,3.74,NA,
Adame et al. 2013a,1003_6,Published,MEX,Mexico,-86.871122,20.87085833,Atlantic East Pacific,V Carbonate,6.51,4.3,19.6,5900,45.43,NA,
Adame et al. 2013a,1003_7,Published,MEX,Mexico,-87.730011,18.64996111,Atlantic East Pacific,IV Lagoon,5.27,4.5,14.6,6700,35.41,NA,
Adame et al. 2013a,1003_8,Published,MEX,Mexico,-88.344331,18.48979167,Atlantic East Pacific,IV Lagoon,13,5.7,23.2,1750,71.28,NA,
Adame et al. 2013b,48_1,Published,MEX,Mexico,-87.7004,19.4867,Atlantic East Pacific,IV Lagoon,9.8,8,24,3183,176.2,2,
Adame et al. 2013b,48_2,Published,MEX,Mexico,-87.4659,19.6957,Atlantic East Pacific,IV Lagoon,7.8,9,32.68,6843,144.9,1,
Adame et al. 2013b,48_3,Published,MEX,Mexico,-87.454,19.6477,Atlantic East Pacific,IV Lagoon,4.1,6,12.42,9409,105,1,
Adame et al. 2013b,48_4,Published,MEX,Mexico,-87.4789,19.78,Atlantic East Pacific,IV Lagoon,3.9,4,13.62,11406,114.2,1,
Adame et al. 2013b,48_5,Published,MEX,Mexico,-87.4612,19.8612,Atlantic East Pacific,IV Lagoon,2.1,1,3.08,8886,3,2,
Adame et al. 2013b,48_6,Published,MEX,Mexico,-87.48,19.8408,Atlantic East Pacific,IV Lagoon,1.4,1,5.84,37932,7.1,1,
Adame et al. 2013b,48_7,Published,MEX,Mexico,-87.495,19.8218,Atlantic East Pacific,IV Lagoon,1.1,1,4.48,47216,5.3,1,
Adame et al. 2018,3006,Published,MYS,Malaysia,100.6311,4.838333,Indo West Pacific,III Tidal system,NA,NA,NA,NA,471.6,NA,
Agraz-Hern???dez 1999,1004_1,Published,MEX,Mexico,-106.312897,23.13003611,Atlantic East Pacific,IV Lagoon,6.52,7,10.9,3270,41.13,NA,
Agraz-Hern???dez 1999,1004_10,Published,MEX,Mexico,-105.384408,21.59549722,Atlantic East Pacific,II Small delta,1.4,1.5,6.12,40000,4.95,NA,
Agraz-Hern???dez 1999,1004_2,Published,MEX,Mexico,-106.337153,23.15406944,Atlantic East Pacific,IV Lagoon,6.94,7,13.7,3622,51.69,NA,
Agraz-Hern???dez 1999,1004_3,Published,MEX,Mexico,-106.312936,23.14902778,Atlantic East Pacific,IV Lagoon,8.58,6,8.9,1541,28.78,NA,
Agraz-Hern???dez 1999,1004_4,Published,MEX,Mexico,-106.318244,23.13514167,Atlantic East Pacific,IV Lagoon,NA,NA,NA,NA,NA,1,
Agraz-Hern???dez 1999,1004_5,Published,MEX,Mexico,-106.330531,23.15291944,Atlantic East Pacific,IV Lagoon,NA,NA,NA,NA,NA,1,
Agraz-Hern???dez 1999,1004_6,Published,MEX,Mexico,-106.344689,23.17155278,Atlantic East Pacific,IV Lagoon,1.6,1,7.2,36000,3.88,NA,
Agraz-Hern???dez 1999,1004_7,Published,MEX,Mexico,-105.392542,21.60411667,Atlantic East Pacific,II Small delta,11.84,10,11.7,1063,63.06,NA,
Agraz-Hern???dez 1999,1004_8,Published,MEX,Mexico,-105.386253,21.60049444,Atlantic East Pacific,II Small delta,11.77,12,22.3,2050,144.24,NA,
Agraz-Hern???dez 1999,1004_9,Published,MEX,Mexico,-105.387967,21.59396667,Atlantic East Pacific,II Small delta,6.66,5.7,11.8,3394,36.25,NA,
Agraz-Hern???dez 2006,1005,Published,MEX,Mexico,-86.792533,21.09726111,Atlantic East Pacific,V Carbonate,0.93,1.5,6.5,96667,5.26,NA,
Agraz-Hern???dez et al. 2011,46_1,Published,MEX,Mexico,-96.3854,19.56012,Atlantic East Pacific,III Tidal system,24.59,12,47.1,992,304.64,1,
Agraz-Hern???dez et al. 2011,46_2,Published,MEX,Mexico,-96.3874,19.56673,Atlantic East Pacific,III Tidal system,17.81,6,16.7,671,54.01,2,
Agraz-Hern???dez et al. 2011,46_3,Published,MEX,Mexico,-96.3878,19.56107,Atlantic East Pacific,III Tidal system,9.41,5,5,720,13.48,2,
Agraz-Hern???dez et al. 2011,46_4,Published,MEX,Mexico,-96.3891,19.5624,Atlantic East Pacific,III Tidal system,0.74,2.5,1.5,35000,2.02,1,
Agraz-Hern???dez et al. 2011,46_5,Published,MEX,Mexico,-96.3908,19.5731,Atlantic East Pacific,III Tidal system,13.05,7,7,524,26.41,1,
