Lat,Lon,Dataset
-20.248105,57.788057,Rovai et al. only
-20.385806,57.375362,Rovai et al. only
20.766031,39.474424,Rovai et al. only
23.979278,38.19564,Rovai et al. only
-0.92775,-46.672167,Rovai et al. only
-0.92775,-46.672167,Rovai et al. only
-17.437662,140.846897,Rovai et al. only
-15.010453,141.668207,Rovai et al. only
-15.010453,141.668207,Rovai et al. only
-15.010453,141.668207,Rovai et al. only
-14.974882,141.655333,Rovai et al. only
-14.968799,141.648818,Rovai et al. only
-14.968799,141.648818,Rovai et al. only
-14.968799,141.648818,Rovai et al. only
-14.961484,141.643852,Rovai et al. only
-14.961484,141.643852,Rovai et al. only
-14.961484,141.643852,Rovai et al. only
-17.437662,140.846897,Rovai et al. only
-14.961484,141.643852,Rovai et al. only
-17.428517,140.854579,Rovai et al. only
-17.428517,140.854579,Rovai et al. only
-17.470068,140.801917,Rovai et al. only
-17.470068,140.801917,Rovai et al. only
-15.024186,141.667746,Rovai et al. only
-15.024186,141.667746,Rovai et al. only
-15.010453,141.668207,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
-25.0249,-47.931936,Rovai et al. only
20.70753056,-90.4295,Rovai et al. only
21.245175,-89.806517,Rovai et al. only
21.27526389,-89.675069,Rovai et al. only
21.38728889,-88.909236,Rovai et al. only
21.61994167,-88.130022,Rovai et al. only
20.87085833,-86.871122,Rovai et al. only
18.64996111,-87.730011,Rovai et al. only
18.48979167,-88.344331,Rovai et al. only
4.838333,100.6311,Rovai et al. only
23.13003611,-106.312897,Rovai et al. only
21.59549722,-105.384408,Rovai et al. only
23.15406944,-106.337153,Rovai et al. only
23.14902778,-106.312936,Rovai et al. only
23.17155278,-106.344689,Rovai et al. only
21.60411667,-105.392542,Rovai et al. only
21.60049444,-105.386253,Rovai et al. only
21.59396667,-105.387967,Rovai et al. only
21.09726111,-86.792533,Rovai et al. only
19.56012,-96.3854,Rovai et al. only
19.56673,-96.3874,Rovai et al. only
19.56107,-96.3878,Rovai et al. only
19.5624,-96.3891,Rovai et al. only
19.5731,-96.3908,Rovai et al. only
19.57269,-96.39,Rovai et al. only
19.59128,-96.3854,Rovai et al. only
19.59023,-96.3863,Rovai et al. only
18.71726667,-91.598519,Rovai et al. only
9.39465833,-75.820731,Rovai et al. only
9.39465833,-75.820731,Rovai et al. only
9.39465833,-75.820731,Rovai et al. only
3.641442,9.653453,Rovai et al. only
5.030326,-2.764403,Rovai et al. only
5.030326,-2.764403,Rovai et al. only
5.030326,-2.764403,Rovai et al. only
5.030326,-2.764403,Rovai et al. only
4.479428,8.911077,Rovai et al. only
0.257697,9.617055,Rovai et al. only
-4.011669,11.242369,Rovai et al. only
-5.996949,12.441183,Rovai et al. only
6.313996,1.977576,Rovai et al. only
-5.228904,39.067921,Rovai et al. only
-5.228904,39.067921,Rovai et al. only
-5.228904,39.067921,Rovai et al. only
-4.981456,39.120653,Rovai et al. only
-4.981456,39.120653,Rovai et al. only
-4.981456,39.120653,Rovai et al. only
5.276668,162.979481,Rovai et al. only
5.347504,162.965418,Rovai et al. only
5.282642,162.963162,Rovai et al. only
5.327724,162.946471,Rovai et al. only
6.874493,158.302058,Rovai et al. only
6.874493,158.302058,Rovai et al. only
6.874493,158.302058,Rovai et al. only
-20.730325,116.620156,Rovai et al. only
-20.726946,116.625794,Rovai et al. only
-20.324444,118.650543,Rovai et al. only
-20.32281,118.651032,Rovai et al. only
-22.311786,114.121801,Rovai et al. only
-21.965236,113.946276,Rovai et al. only
24.393433,117.921261,Rovai et al. only
24.402372,117.915697,Rovai et al. only
24.403789,117.906386,Rovai et al. only
-7.05770833,-34.847875,Rovai et al. only
-7.05770833,-34.847875,Rovai et al. only
-7.05770833,-34.847875,Rovai et al. only
-28.49388889,-48.834167,Rovai et al. only
-6.78472222,-34.954722,Rovai et al. only
-22.70619167,-42.984697,Rovai et al. only
-0.81252,117.5248,Rovai et al. only
-0.38948,117.5334,Rovai et al. only
-0.73153,117.5733,Rovai et al. only
-0.73153,117.5733,Rovai et al. only
-0.73268,117.5314,Rovai et al. only
