Lat,Lon,Height
22.519,114.024,\
22.519,114.024,\
18.615,-91.943,\
18.615,-91.943,\
18.615,-91.943,\
18.615,-91.943,\
18.615,-91.943,\
18.615,-91.943,\
18.617,-91.972,\
18.617,-91.972,\
18.617,-91.972,\
18.641,-92.458,\
18.641,-92.458,\
18.641,-92.458,\
5.366,-52.852,2.8
5.363,-52.853,5
5.444,-52.996,2.5
5.36,-52.852,5
5.356,-52.852,5
5.444,-52.993,5.5
5.441,-52.993,5
5.38,-52.908,6.1
5.364,-52.895,20
5.449,-53.029,22
5.351,-52.871,18.22
5.441,-53.03,24.8
5.417,-52.979,19
5.46,-53.028,15
5.459,-53.025,17
9.556,138.18,4
22.256,89.63,4
-7.713,108.958,4
-7.724,108.97,4
1.75,124.736,4
1.695,124.959,4
1.738,124.755,4
1.567,124.804,4
7.352,134.539,4
9.515,138.149,9.5
1.296,124.507,9.5
1.372,124.551,9.5
22.319,89.629,9.5
-2.737,111.738,9.5
5.349,162.963,15
5.282,162.964,15
5.326,162.945,15
5.283,162.911,15
9.553,138.1,15
9.543,138.091,15
9.588,138.127,15
-2.849,111.739,15
-2.784,111.699,15
-2.856,111.732,15
-2.741,111.714,15
-15.612,46.875,9.98
-15.461,47.196,7.69
-15.501,47.072,3.86
-15.589,46.924,4.22
-15.604,47.043,2.31
-4.553,122.011,8.2
-4.553,122.011,5.4
8.65,105.065,15
8.672,105.074,12.9
8.669,105.072,13.3
8.597,104.964,15.5
8.589,104.928,13.6
8.7,105.072,18.5
10.478,106.803,19.4
10.483,106.803,19.6
10.48,106.801,19.3
10.48,106.789,14.6
10.479,106.789,12.9
10.478,106.789,15.4
10.487,106.794,8.9
11.608,124.995,\
20.653,106.701,5.71
20.653,106.701,6.42
20.653,106.701,6.06
20.653,106.701,6.08
20.653,106.701,4.85
20.653,106.701,5.33
20.653,106.701,5.67
20.653,106.701,6.56
20.653,106.701,6.67
20.653,106.701,10.3
20.653,106.701,6.33
20.653,106.701,12.4
20.653,106.701,11
20.653,106.701,8.64
20.653,106.701,8.17
20.653,106.701,13.4
20.653,106.701,12.5
20.653,106.701,8.1
-36.314,174.76,1.885
-36.811,174.776,0.752
-36.937,175.787,3.595
-37.202,175.861,1.151
-37.013,175.847,1.66
22.519,114.024,3.78
22.519,114.024,2.38
22.519,114.024,2.74
21.57,109.753,2.43
21.565,109.755,2.4
21.568,109.763,3.25
21.555,109.768,3.35
21.538,109.774,1.44
4.845,100.599,14
4.844,100.584,12.5
8.606,104.723,4.6
8.606,104.723,3.1
8.606,104.723,5.5
8.606,104.723,6.5
8.606,104.723,9.5
8.606,104.723,9.5
8.606,104.723,11.8
8.606,104.723,12.9
8.606,104.723,10
8.606,104.723,14.7
8.606,104.723,13.7
8.606,104.723,14.6
8.606,104.723,14.3
8.606,104.723,14.8
8.606,104.723,15.4
8.606,104.723,15.1
8.606,104.723,15
8.606,104.723,15.4
8.606,104.723,14.4
22.437,89.585,5.7
22.441,89.549,7.4
22.441,89.549,6.6
22.429,89.591,10.9
22.429,89.591,15.1
22.437,89.585,7.9
21.518,88.03,\
21.518,88.03,\
21.518,88.03,\
22.31,88.677,\
22.31,88.677,\
22.31,88.677,\
-4.419,39.511,8.37
10.144,124.156,5.5
10.144,124.156,7
10.144,124.156,9.5
10.144,124.156,8
5.867,102.508,\
3.333,101.233,12.1
3.667,100.967,6.2
-0.505,117.559,\
-0.515,117.501,\
-0.733,117.531,\
-0.732,117.573,\
-0.351,117.503,\
-0.351,117.52,\
-0.389,117.533,\
-0.808,117.508,\
-0.813,117.525,\
-0.764,117.615,\
27.581,-82.564,\
27.846,-82.601,\
27.628,-82.715,\
27.599,-82.551,\
27.743,-82.468,\
27.743,-82.688,\
4.11,-77.251,16.24
3.836,-77.258,8.76
3.842,-77.206,6.49
-8.511,125.769,\
3.028,101.327,\
2.944,101.379,\
3.026,101.264,\
21.574,109.752,2.14
21.566,109.755,2.38
21.549,109.766,1.87
21.538,109.774,2.19
28.709,-80.738,\
-7.683,108.917,3.16
-7.683,108.917,2.68
25.907,-81.669,8.2
25.932,-81.673,8.9
25.932,-81.673,6.5
25.932,-81.673,1.5
4.933,115.233,12.16
-4.419,39.511,3.9
-4.419,39.511,5.3
-4.419,39.511,4.5
-4.419,39.511,2.3
15.181,-92.786,\
15.205,-92.811,\
15.228,-92.837,\
15.226,-92.871,\
15.222,-92.881,\
15.246,-92.918,\
15.211,-92.861,\
1.896,-78.489,23.7
9.365,98.408,\
9.365,98.406,\
9.366,98.406,\
9.369,98.4,\
9.372,98.4,\
9.371,98.399,\
9.368,98.405,\
9.369,98.405,\
9.369,98.405,\
9.369,98.402,\
9.368,98.401,\
9.371,98.401,\
9.373,98.4,\
9.377,98.4,\
9.367,98.405,\
9.366,98.407,\
9.365,98.406,\
9.37,98.4,\
9.371,98.407,\
9.371,98.405,\
9.374,98.405,\
9.373,98.403,\
9.374,98.403,\
9.374,98.4,\
9.368,98.401,\
9.372,98.402,\
9.373,98.402,\
9.375,98.404,\
9.371,98.404,\
9.371,98.402,\
9.367,98.408,\
9.37,98.407,\
9.365,98.399,\
9.363,98.405,\
9.364,98.402,\
9.363,98.406,\
9.367,98.4,\
9.366,98.402,\
9.366,98.404,\
9.365,98.403,\
10.28,99.163,\
10.278,99.163,\
10.373,99.22,\
10.373,99.222,\
-6.087,106.72,\
-6.07,106.738,\
-6.101,106.748,\
-6.104,106.76,\
-5.939,106.99,\
7.668,81.666,2
7.628,81.725,3.34
19.487,-87.7,6.5
19.696,-87.466,8.5
19.648,-87.454,6.5
19.78,-87.479,3.5
19.861,-87.461,0.95
19.841,-87.48,0.7
19.822,-87.495,1
19.95,106.002,0.5
19.95,106.001,0.5
19.952,106.0,3.1
19.953,105.999,5
19.957,106.001,6.4
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
20.417,86.742,\
19.884,-71.642,3
19.882,-71.647,3
19.876,-71.651,3
19.693,-71.712,6.5
19.691,-71.716,6.5
19.708,-71.723,6.5
19.724,-71.725,10
19.701,-71.72,10
19.701,-71.709,10
-5.475,119.315,6.5
-5.477,119.306,6.5
-5.327,119.364,10
1.589,124.839,10
1.589,124.839,10
-5.46,119.289,3
1.589,124.839,6.5
1.589,124.839,4
1.589,124.839,10
1.411,103.988,\
24.632,53.052,\
24.628,53.054,\
24.281,53.314,\
24.45,54.41,\
24.453,54.441,\
24.503,54.533,\
24.519,54.47,\
