Lat,Lon,Height
22.519,114.024,9
22.519,114.024,9
18.615,-91.943,16
18.615,-91.943,16
18.615,-91.943,16
18.615,-91.943,16
18.615,-91.943,16
18.615,-91.943,16
18.617,-91.972,11
18.617,-91.972,11
18.617,-91.972,11
18.641,-92.458,11
18.641,-92.458,11
18.641,-92.458,11
5.366,-52.852,39
5.363,-52.853,38
5.444,-52.996,13
5.36,-52.852,40
5.356,-52.852,2
5.444,-52.993,17
5.441,-52.993,16
5.38,-52.908,22
5.364,-52.895,12
5.449,-53.029,27
5.351,-52.871,24
5.441,-53.03,20
5.417,-52.979,31
5.46,-53.028,12
5.459,-53.025,3
9.556,138.18,0
22.256,89.63,12
-7.713,108.958,10
-7.724,108.97,7
1.75,124.736,10
1.695,124.959,8
1.738,124.755,15
1.567,124.804,9
7.352,134.539,14
9.515,138.149,0
1.296,124.507,22
1.372,124.551,14
22.319,89.629,17
-2.737,111.738,19
5.349,162.963,28
5.282,162.964,22
5.326,162.945,28
5.283,162.911,25
9.553,138.1,0
9.543,138.091,0
9.588,138.127,0
-2.849,111.739,13
-2.784,111.699,20
-2.856,111.732,19
-2.741,111.714,12
-15.612,46.875,5
-15.461,47.196,8
-15.501,47.072,8
-15.589,46.924,4
-15.604,47.043,11
-4.553,122.011,7
-4.553,122.011,7
8.65,105.065,10
8.672,105.074,13
8.669,105.072,8
8.597,104.964,13
8.589,104.928,12
8.7,105.072,9
10.478,106.803,7
10.483,106.803,15
10.48,106.801,14
10.48,106.789,12
10.479,106.789,12
10.478,106.789,12
10.487,106.794,13
11.608,124.995,16
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
20.653,106.701,10
-36.314,174.76,15
-36.811,174.776,8
-36.937,175.787,24
-37.202,175.861,23
-37.013,175.847,15
22.519,114.024,9
22.519,114.024,9
22.519,114.024,9
21.57,109.753,7
21.565,109.755,6
21.568,109.763,5
21.555,109.768,6
21.538,109.774,5
4.845,100.599,7
4.844,100.584,10
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
8.606,104.723,16
