Lat,Lon,Height
22.519,114.024,10
22.519,114.024,10
18.615,-91.943,0
18.615,-91.943,0
18.615,-91.943,0
18.615,-91.943,0
18.615,-91.943,0
18.615,-91.943,0
18.617,-91.972,4
18.617,-91.972,4
18.617,-91.972,4
18.641,-92.458,9
18.641,-92.458,9
18.641,-92.458,9
5.366,-52.852,33
5.363,-52.853,32
5.444,-52.996,9
5.36,-52.852,33
5.356,-52.852,0
5.444,-52.993,14
5.441,-52.993,12
5.38,-52.908,14
5.364,-52.895,11
5.449,-53.029,25
5.351,-52.871,22
5.441,-53.03,17
5.417,-52.979,22
5.46,-53.028,21
5.459,-53.025,17
9.556,138.18,0
22.256,89.63,13
-7.713,108.958,1
-7.724,108.97,3
1.75,124.736,5
1.695,124.959,2
1.738,124.755,7
1.567,124.804,8
7.352,134.539,8
9.515,138.149,0
1.296,124.507,31
1.372,124.551,11
22.319,89.629,12
-2.737,111.738,17
5.349,162.963,39
5.282,162.964,31
5.326,162.945,34
5.283,162.911,13
9.553,138.1,0
9.543,138.091,0
9.588,138.127,0
-2.849,111.739,16
-2.784,111.699,0
-2.856,111.732,16
-2.741,111.714,0
-15.612,46.875,5
-15.461,47.196,9
-15.501,47.072,6
-15.589,46.924,0
-15.604,47.043,6
-4.553,122.011,0
-4.553,122.011,0
8.65,105.065,3
8.672,105.074,0
8.669,105.072,0
8.597,104.964,15
8.589,104.928,16
8.7,105.072,0
10.478,106.803,6
10.483,106.803,16
10.48,106.801,14
10.48,106.789,14
10.479,106.789,14
10.478,106.789,12
10.487,106.794,16
11.608,124.995,3
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
20.653,106.701,4
-36.314,174.76,0
-36.811,174.776,0
-36.937,175.787,21
-37.202,175.861,0
-37.013,175.847,0
22.519,114.024,10
22.519,114.024,10
22.519,114.024,10
21.57,109.753,6
21.565,109.755,5
21.568,109.763,2
21.555,109.768,2
21.538,109.774,5
4.845,100.599,6
4.844,100.584,6
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
8.606,104.723,8
22.437,89.585,0
22.441,89.549,3
22.441,89.549,3
22.429,89.591,5
22.429,89.591,5
22.437,89.585,0
21.518,88.03,0
21.518,88.03,0
21.518,88.03,0
22.31,88.677,0
22.31,88.677,0
22.31,88.677,0
-4.419,39.511,1
10.144,124.156,11
10.144,124.156,11
10.144,124.156,11
10.144,124.156,11
5.867,102.508,0
3.333,101.233,11
3.667,100.967,3
-0.505,117.559,18
-0.515,117.501,13
-0.733,117.531,16
-0.732,117.573,8
-0.351,117.503,0
-0.351,117.52,6
-0.389,117.533,14
-0.808,117.508,6
-0.813,117.525,6
-0.764,117.615,0
27.581,-82.564,7
27.846,-82.601,4
27.628,-82.715,3
27.599,-82.551,2
27.743,-82.468,3
27.743,-82.688,3
4.11,-77.251,21
3.836,-77.258,20
3.842,-77.206,22
-8.511,125.769,5
3.028,101.327,16
2.944,101.379,1
3.026,101.264,5
21.574,109.752,5
21.566,109.755,7
21.549,109.766,8
21.538,109.774,5
28.709,-80.738,0
-7.683,108.917,6
-7.683,108.917,6
25.907,-81.669,7
25.932,-81.673,0
25.932,-81.673,0
25.932,-81.673,0
4.933,115.233,17
-4.419,39.511,1
-4.419,39.511,1
-4.419,39.511,1
-4.419,39.511,1
15.181,-92.786,21
15.205,-92.811,3
15.228,-92.837,4
15.226,-92.871,16
15.222,-92.881,4
15.246,-92.918,10
15.211,-92.861,18
1.896,-78.489,23
9.365,98.408,18
9.365,98.406,18
9.366,98.406,16
9.369,98.4,17
9.372,98.4,18
9.371,98.399,7
9.368,98.405,17
9.369,98.405,14
9.369,98.405,14
9.369,98.402,12
9.368,98.401,17
9.371,98.401,19
9.373,98.4,19
9.377,98.4,13
9.367,98.405,16
9.366,98.407,19
9.365,98.406,18
9.37,98.4,10
9.371,98.407,8
9.371,98.405,18
9.374,98.405,17
9.373,98.403,12
9.374,98.403,7
9.374,98.4,8
9.368,98.401,17
9.372,98.402,20
9.373,98.402,19
9.375,98.404,20
9.371,98.404,15
9.371,98.402,20
9.367,98.408,19
9.37,98.407,18
9.365,98.399,18
9.363,98.405,18
9.364,98.402,18
9.363,98.406,20
9.367,98.4,19
9.366,98.402,19
9.366,98.404,20
9.365,98.403,20
10.28,99.163,0
10.278,99.163,7
10.373,99.22,7
10.373,99.222,10
-6.087,106.72,0
-6.07,106.738,19
-6.101,106.748,8
-6.104,106.76,5
-5.939,106.99,4
7.668,81.666,0
7.628,81.725,0
19.487,-87.7,0
19.696,-87.466,5
19.648,-87.454,4
19.78,-87.479,2
19.861,-87.461,0
19.841,-87.48,0
19.822,-87.495,0
19.95,106.002,0
19.95,106.001,3
19.952,106.0,3
19.953,105.999,3
19.957,106.001,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
20.417,86.742,3
19.884,-71.642,1
19.882,-71.647,1
19.876,-71.651,0
19.693,-71.712,14
19.691,-71.716,15
19.708,-71.723,9
19.724,-71.725,15
19.701,-71.72,14
19.701,-71.709,17
-5.475,119.315,1
-5.477,119.306,3
-5.327,119.364,0
1.589,124.839,11
1.589,124.839,11
-5.46,119.289,1
1.589,124.839,11
1.589,124.839,11
1.589,124.839,11
1.411,103.988,11
24.632,53.052,3
24.628,53.054,0
24.281,53.314,0
24.45,54.41,0
24.453,54.441,0
24.503,54.533,0
24.519,54.47,0
24.656,54.673,1
25.191,55.327,0
25.435,55.478,1
25.533,55.593,0
25.562,55.605,0
25.773,55.947,1
25.898,56.04,1
25.017,56.356,0
25.017,56.356,0
25.017,56.356,0
25.01,56.36,0
24.201,53.802,0
24.203,53.801,0
24.204,53.8,0
24.213,53.799,0
24.507,54.526,0
24.484,54.534,0
24.486,54.54,0
21.808,89.183,0
21.808,89.183,0
10.483,106.943,0
10.437,106.932,8
10.44,106.855,8
10.532,106.929,0
10.503,106.822,15
10.521,106.898,1
8.647,105.116,1
8.649,105.111,0
8.638,105.078,11
8.65,105.116,0
8.644,105.097,11
8.641,105.088,8
8.653,105.121,0
8.473,105.074,0
8.645,105.105,11
18.606,-92.684,12
18.652,-92.458,12
18.648,-92.475,11
18.594,-92.468,11
18.492,-93.429,8
18.567,-92.432,7
18.595,-92.448,4
-25.917,32.638,1
-18.836,36.276,6
-18.836,36.276,6
-18.836,36.276,6
-18.836,36.276,6
-18.836,36.276,6
13.428,-87.611,17
13.367,-87.471,16
13.114,-87.184,14
13.368,-87.476,23
15.874,-87.641,16
15.785,-87.596,13
15.891,-87.633,23
