Lat,Lon,Height
22.519,114.024,3.218568325
22.519,114.024,3.218568325
18.615,-91.943,10.53201771
18.615,-91.943,10.53201771
18.615,-91.943,10.53201771
18.615,-91.943,10.53201771
18.615,-91.943,10.53201771
18.615,-91.943,10.53201771
18.617,-91.972,6.744778633
18.617,-91.972,6.744778633
18.617,-91.972,6.744778633
18.641,-92.458,9.86125946
18.641,-92.458,9.86125946
18.641,-92.458,9.86125946
5.366,-52.852,0
5.363,-52.853,0
5.444,-52.996,15.33133793
5.36,-52.852,0
5.356,-52.852,0
5.444,-52.993,27.93523407
5.441,-52.993,9.060925484
5.38,-52.908,23.49208832
5.364,-52.895,0
5.449,-53.029,29.95877457
5.351,-52.871,0
5.441,-53.03,0
5.417,-52.979,0
5.46,-53.028,0
5.459,-53.025,12.88871193
9.556,138.18,6.310652733
22.256,89.63,12.86801815
-7.713,108.958,0
-7.724,108.97,2.348533869
1.75,124.736,0
1.695,124.959,1.936068177
1.738,124.755,0
1.567,124.804,4.779833794
7.352,134.539,7.20913744
9.515,138.149,8.853769302
1.296,124.507,7.08805418
1.372,124.551,5.777197838
22.319,89.629,13.68443966
-2.737,111.738,9.588821411
5.349,162.963,0
5.282,162.964,0
5.326,162.945,0
5.283,162.911,0
9.553,138.1,11.00586414
9.543,138.091,7.823628902
9.588,138.127,11.725667
-2.849,111.739,10.57072926
-2.784,111.699,0
-2.856,111.732,11.26994133
-2.741,111.714,21.57434845
-15.612,46.875,5.275548935
-15.461,47.196,13.39127159
-15.501,47.072,8.805839539
-15.589,46.924,4.313419819
-15.604,47.043,10.66872692
-4.553,122.011,0
-4.553,122.011,0
8.65,105.065,17.17119026
8.672,105.074,4.060802937
8.669,105.072,5.360888481
8.597,104.964,10.55935478
8.589,104.928,18.81655121
8.7,105.072,14.61714935
10.478,106.803,0
10.483,106.803,0
10.48,106.801,18.81378365
10.48,106.789,11.08852005
10.479,106.789,15.77131176
10.478,106.789,11.94578743
10.487,106.794,14.0910635
11.608,124.995,0
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
20.653,106.701,1.780477643
-36.314,174.76,1.694857001
-36.811,174.776,0
-36.937,175.787,0
-37.202,175.861,0
-37.013,175.847,0
22.519,114.024,3.218568325
22.519,114.024,3.218568325
22.519,114.024,3.218568325
21.57,109.753,6.553537369
21.565,109.755,2.891148806
21.568,109.763,3.487691641
21.555,109.768,4.734841824
21.538,109.774,3.403264046
4.845,100.599,0
4.844,100.584,2.842303991
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
8.606,104.723,15.41564751
22.437,89.585,0
22.441,89.549,18.35957336
22.441,89.549,18.35957336
22.429,89.591,0
22.429,89.591,0
22.437,89.585,0
21.518,88.03,3.099947691
21.518,88.03,3.099947691
21.518,88.03,3.099947691
22.31,88.677,14.56054688
22.31,88.677,14.56054688
22.31,88.677,14.56054688
-4.419,39.511,4.493360996
10.144,124.156,0
10.144,124.156,0
10.144,124.156,0
10.144,124.156,0
5.867,102.508,10.28061008
3.333,101.233,17.38092613
3.667,100.967,0
-0.505,117.559,29.39063644
-0.515,117.501,11.60974503
-0.733,117.531,23.35233116
-0.732,117.573,15.07692814
-0.351,117.503,12.96646309
-0.351,117.52,16.76339912
-0.389,117.533,13.96942711
-0.808,117.508,5.89236927
-0.813,117.525,14.73415661
-0.764,117.615,8.369778633
27.581,-82.564,0
27.846,-82.601,5.968624592
27.628,-82.715,5.954652786
27.599,-82.551,0
27.743,-82.468,0
27.743,-82.688,0
4.11,-77.251,37.64334869
3.836,-77.258,0
3.842,-77.206,26.46003151
-8.511,125.769,9.752619743
3.028,101.327,12.46783829
2.944,101.379,0
3.026,101.264,14.92540932
21.574,109.752,4.544520378
21.566,109.755,5.983388424
21.549,109.766,4.543275356
21.538,109.774,3.403264046
28.709,-80.738,0
-7.683,108.917,4.54563427
-7.683,108.917,4.54563427
25.907,-81.669,6.616914749
25.932,-81.673,0
25.932,-81.673,0
25.932,-81.673,0
4.933,115.233,9.796046257
-4.419,39.511,4.493360996
-4.419,39.511,4.493360996
-4.419,39.511,4.493360996
-4.419,39.511,4.493360996
15.181,-92.786,23.19742393
15.205,-92.811,7.690241814
15.228,-92.837,1.600323796
15.226,-92.871,6.924591541
15.222,-92.881,2.904319525
15.246,-92.918,10.21601486
15.211,-92.861,11.19299316
1.896,-78.489,0
9.365,98.408,22.33421135
9.365,98.406,16.53450203
9.366,98.406,20.85092354
9.369,98.4,15.00854969
9.372,98.4,19.00496674
9.371,98.399,8.026742935
9.368,98.405,17.20867157
9.369,98.405,17.79504776
9.369,98.405,17.79504776
9.369,98.402,22.99253845
9.368,98.401,20.31359673
9.371,98.401,20.16234779
9.373,98.4,8.144913673
9.377,98.4,14.0453186
9.367,98.405,18.04589462
9.366,98.407,19.39486694
9.365,98.406,16.53450203
9.37,98.4,2.571686506
9.371,98.407,0
9.371,98.405,15.08971214
9.374,98.405,16.20519257
9.373,98.403,14.62393761
9.374,98.403,0
9.374,98.4,9.332186699
9.368,98.401,20.31359673
9.372,98.402,19.95544624
9.373,98.402,18.10661888
9.375,98.404,0
9.371,98.404,19.5311985
9.371,98.402,19.73707771
9.367,98.408,19.09850502
9.37,98.407,17.929739
9.365,98.399,14.59130192
9.363,98.405,21.64839745
9.364,98.402,0
9.363,98.406,22.54932213
9.367,98.4,18.91555023
9.366,98.402,20.57232285
9.366,98.404,21.93647957
9.365,98.403,21.22571182
10.28,99.163,18.09105301
10.278,99.163,0
10.373,99.22,14.67541504
10.373,99.222,0
-6.087,106.72,0
-6.07,106.738,6.558905125
-6.101,106.748,5.710653782
-6.104,106.76,25.5125103
-5.939,106.99,0
7.668,81.666,0
7.628,81.725,11.9704628
19.487,-87.7,0
19.696,-87.466,6.086815357
19.648,-87.454,0
19.78,-87.479,4.224625587
19.861,-87.461,6.610722542
19.841,-87.48,0
19.822,-87.495,8.09137249
19.95,106.002,1.453974962
19.95,106.001,3.957368612
19.952,106,0
19.953,105.999,5.950476646
19.957,106.001,8.008367538
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
20.417,86.742,0
19.884,-71.642,1.250673413
19.882,-71.647,31.18290329
19.876,-71.651,1.113234043
19.693,-71.712,0
19.691,-71.716,18.32223701
19.708,-71.723,4.479443073
19.724,-71.725,0
19.701,-71.72,0
19.701,-71.709,4.253281593
-5.475,119.315,0
-5.477,119.306,0
-5.327,119.364,0
1.589,124.839,0
1.589,124.839,0
-5.46,119.289,4.901065826
1.589,124.839,0
1.589,124.839,0
1.589,124.839,0
1.411,103.988,4.85333395
24.632,53.052,0
24.628,53.054,0
24.281,53.314,1.961329818
24.45,54.41,3.612257481
24.453,54.441,2.790887117
24.503,54.533,0
24.519,54.47,0
24.656,54.673,1.535763144
25.191,55.327,2.920977354
25.435,55.478,5.314286232
25.533,55.593,0
25.562,55.605,0
25.773,55.947,0
25.898,56.04,0
25.017,56.356,0
25.017,56.356,0
25.017,56.356,0
25.01,56.36,0
24.201,53.802,0
24.203,53.801,0
24.204,53.8,0
24.213,53.799,0
24.507,54.526,0
24.484,54.534,0
24.486,54.54,0
21.808,89.183,8.974368095
21.808,89.183,8.974368095
10.483,106.943,0
10.437,106.932,10.27098274
10.44,106.855,16.87324715
10.532,106.929,0
10.503,106.822,13.25980663
10.521,106.898,12.26208973
8.647,105.116,0
8.649,105.111,5.307497501
8.638,105.078,7.358573914
8.65,105.116,0
8.644,105.097,9.825321198
8.641,105.088,5.445712566
8.653,105.121,0
8.473,105.074,0
8.645,105.105,4.702096462
18.606,-92.684,9.509379387
18.652,-92.458,14.23059845
18.648,-92.475,12.84055424
18.594,-92.468,18.63815689
