Country,Region
Angola,Western and Central Africa
Antigua and Barbuda,North and Central America
Aruba,North and Central America
Australia,Oceania
Bahamas,North and Central America
Bahrain,Others
Bangladesh,South Asia
Barbados,North and Central America
Belize,North and Central America
Benin,Western and Central Africa
Bermuda,North and Central America
Brazil,South America
Brunei Darussalam,Southeast Asia
Cambodia,Southeast Asia
Cameroon,Western and Central Africa
China,Others
Colombia,South America
Comoros,Others
Congo,Western and Central Africa
"Congo, Dem Rep",Western and Central Africa
Costa Rica,North and Central America
Cote d'Ivoire,Western and Central Africa
Cuba,North and Central America
Djibouti,Others
Dominica,North and Central America
Dominican Rep,North and Central America
East Timor,Southeast Asia
Ecuador,South America
Egypt,Others
El Salvador,North and Central America
Equatorial Guinea,Western and Central Africa
Eritrea,Others
Fiji,Oceania
France,Others
French Guiana,South America
French Polynesia,Oceania
Gabon,Western and Central Africa
Gambia,Western and Central Africa
Ghana,Western and Central Africa
Grenada,North and Central America
Guadeloupe,North and Central America
Guatemala,North and Central America
Guinea,Western and Central Africa
Guinea-Bissau,Western and Central Africa
Guyana,South America
Haiti,North and Central America
Honduras,North and Central America
Hong Kong,Others
India,South Asia
Indonesia,Southeast Asia
"Iran, Islamic Rep",South Asia
Jamaica,North and Central America
Japan,Others
Kenya,Others
Kiribati,Oceania
Liberia,Western and Central Africa
Madagascar,Others
Malaysia,Southeast Asia
Maldives,South Asia
Marshall Islands,Oceania
Martinique,North and Central America
Mauritania,Western and Central Africa
Mauritius,Others
Mexico,North and Central America
"Micronesia, Fed States",Oceania
Mozambique,Others
Myanmar,Southeast Asia
Netherlands Antilles,North and Central America
New Caledonia,Oceania
New Zealand,Oceania
Nicaragua,North and Central America
Nigeria,Western and Central Africa
Oman,Others
Pakistan,South Asia
Palau,Oceania
Panama,North and Central America
Papua New Guinea,Oceania
Peru,South America
Philippines,Southeast Asia
Puerto Rico,North and Central America
Qatar,Others
Samoa,Oceania
Sao Tome & Principe,
Saudi Arabia,Others
Senegal,Western and Central Africa
Seychelles,Others
Sierra Leone,Western and Central Africa
Singapore,Southeast Asia
Solomon Islands,Oceania
Somalia,Others
South Africa,Others
Sri Lanka,South Asia
St. Kitts and Nevis,North and Central America
St. Lucia,North and Central America
St. Vincent & Grenadines,North and Central America
Sudan,Others
Suriname,South America
"Taiwan, Province of Chi",Others
"Tanzania, United Rep",Others
Thailand,Southeast Asia
Togo,Western and Central Africa
Tonga,Oceania
Trinidad and Tobago,North and Central America
Tuvalu,Oceania
United Arab Emirates,Others
United Kingdom,Others
United States,North and Central America
Vanuatu,Oceania
Venezuela,South America
Viet Nam,Southeast Asia
"Virgin Islands, U.S.",North and Central America
Yemen,Others
